KOD;NAZEV;POPIS;ZKRACENY_NAZEV;ZACATEK_PLATNOSTI;KONEC_PLATNOSTI
1;Cihly, tvárnice, cihlové bloky;Cihly, tvárnice, cihlové bloky;Cihly, tvárnice;01.01.1900 00:00:00;
2;Kámen;Kámen;Kámen;01.01.1900 00:00:00;
3;Kámen a cihly;Kámen a cihly;Kámen a cihly;01.01.1900 00:00:00;
4;Stìnové panely;Stìnové panely;Stìnové panely – bez rozlišení;01.01.1900 00:00:00;01.07.2024 00:00:00
5;Nepálené cihly;Nepálené cihly;Nepálené cihly;01.01.1900 00:00:00;
6;Døevo;Døevo;Døevo – bez rozlišení;01.01.1900 00:00:00;01.07.2024 00:00:00
7;Jiné materiály a kombinace;Jiné materiály a kombinace;Jiné materiály a kombinace;01.01.1900 00:00:00;
8;Nedefinováno;Nedefinováno;Nedefinováno;01.01.1900 00:00:00;
9;Nezjištìno;Nezjištìno;Nezjištìno;01.01.1900 00:00:00;
10;Kámen, cihly, tvárnice vè. kombinací;Kámen, cihly, tvárnice vè. kombinací;Kámen, cihly, tvárnice ;20.05.2013 00:00:00;
11;Monolit;Monolit;Monolit;27.05.2016 00:00:00;
41;Stìnové panely - beton a železobeton;;Stìnové panely - beton a železobeton;01.07.2024 00:00:00;
42;Stìnové panely - døevo;;Stìnové panely - døevo;01.07.2024 00:00:00;
43;Stìnové panely - ostatní;;Stìnové panely - ostatní;01.07.2024 00:00:00;
61;Døevo - Sruby a roubenky;;Døevo - Sruby a roubenky;01.07.2024 00:00:00;
62;Døevo - Lehký rámový skelet (panelová montáž);;Døevo - Panelová montáž;01.07.2024 00:00:00;
63;Døevo - Lehký rámový skelet (staveništní montáž);;Døevo - Staveništní montáž;01.07.2024 00:00:00;
64;Døevo - Tìžký skelet;;Døevo - Tìžký skelet;01.07.2024 00:00:00;
65;Døevo - Panely z masivního døeva;;Døevo - Panely z masivního døeva;01.07.2024 00:00:00;
66;Døevo - Ostatní døevìné konstrukce;;Døevo - Ostatní konstrukce;01.07.2024 00:00:00;
